age,education,marital-status,race,workclass,education-num,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,income
*,Degree,Not-Partnered,White,State-gov,13,Adm-clerical,Not-in-family,Male,2174,0,40,United-States,<=50K
*,Degree,Partnered,White,Self-emp-not-inc,13,Exec-managerial,Husband,Male,0,0,13,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Handlers-cleaners,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,Black,Private,7,Handlers-cleaners,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,Black,Private,13,Prof-specialty,Wife,Female,0,0,40,Cuba,<=50K
*,Degree,Partnered,White,Private,14,Exec-managerial,Wife,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,Black,Private,5,Other-service,Not-in-family,Female,0,0,16,Jamaica,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Exec-managerial,Husband,Male,0,0,45,United-States,>50K
*,Degree,Not-Partnered,White,Private,14,Prof-specialty,Not-in-family,Female,14084,0,50,United-States,>50K
*,Degree,Partnered,White,Private,13,Exec-managerial,Husband,Male,5178,0,40,United-States,>50K
*,No-Degree,Partnered,Black,Private,10,Exec-managerial,Husband,Male,0,0,80,United-States,>50K
*,Degree,Partnered,Asian-Pac-Islander,State-gov,13,Prof-specialty,Husband,Male,0,0,40,India,>50K
*,Degree,Not-Partnered,White,Private,13,Adm-clerical,Own-child,Female,0,0,30,United-States,<=50K
*,Degree,Not-Partnered,Black,Private,12,Sales,Not-in-family,Male,0,0,50,United-States,<=50K
*,Degree,Partnered,Asian-Pac-Islander,Private,11,Craft-repair,Husband,Male,0,0,40,?,>50K
*,No-Degree,Partnered,Amer-Indian-Eskimo,Private,4,Transport-moving,Husband,Male,0,0,45,Mexico,<=50K
*,No-Degree,Not-Partnered,White,Self-emp-not-inc,9,Farming-fishing,Own-child,Male,0,0,35,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Machine-op-inspct,Unmarried,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,7,Sales,Husband,Male,0,0,50,United-States,<=50K
*,Degree,Not-Partnered,White,Self-emp-not-inc,14,Exec-managerial,Unmarried,Female,0,0,45,United-States,>50K
*,Degree,Partnered,White,Private,16,Prof-specialty,Husband,Male,0,0,60,United-States,>50K
*,No-Degree,Not-Partnered,Black,Private,9,Other-service,Unmarried,Female,0,0,20,United-States,<=50K
*,No-Degree,Partnered,Black,Federal-gov,5,Farming-fishing,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,7,Transport-moving,Husband,Male,0,2042,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Tech-support,Unmarried,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Local-gov,13,Tech-support,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,Asian-Pac-Islander,?,10,?,Husband,Male,0,0,60,South,>50K
*,No-Degree,Not-Partnered,White,Private,9,Exec-managerial,Not-in-family,Male,0,0,80,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Local-gov,12,Protective-serv,Not-in-family,Male,0,0,52,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,10,Sales,Own-child,Male,0,0,44,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Exec-managerial,Own-child,Male,0,1408,40,United-States,<=50K
*,No-Degree,Partnered,White,Federal-gov,10,Adm-clerical,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,Black,State-gov,10,Other-service,Husband,Male,0,0,15,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,7,Machine-op-inspct,Unmarried,Male,0,0,40,Puerto-Rico,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Machine-op-inspct,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Adm-clerical,Wife,Female,0,0,25,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Sales,Husband,Male,0,0,38,?,>50K
*,Degree,Partnered,White,Self-emp-not-inc,12,Prof-specialty,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,5,Machine-op-inspct,Husband,Male,0,0,43,United-States,<=50K
*,Degree,Partnered,White,Self-emp-not-inc,13,Prof-specialty,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,13,Tech-support,Husband,Male,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Adm-clerical,Unmarried,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Handlers-cleaners,Not-in-family,Male,0,0,35,United-States,<=50K
*,Degree,Partnered,Black,Federal-gov,13,Prof-specialty,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Private,9,Machine-op-inspct,Husband,Male,0,0,38,United-States,<=50K
*,Degree,Not-Partnered,White,Private,14,Exec-managerial,Unmarried,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,White,State-gov,11,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,11,Prof-specialty,Not-in-family,Male,0,0,43,United-States,<=50K
*,No-Degree,Partnered,Other,Private,10,Exec-managerial,Wife,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Own-child,Female,0,0,30,?,<=50K
*,Degree,Partnered,White,Private,15,Prof-specialty,Wife,Female,0,1902,60,Honduras,>50K
*,Degree,Not-Partnered,White,Federal-gov,13,Exec-managerial,Not-in-family,Male,0,0,55,United-States,>50K
*,No-Degree,Not-Partnered,White,Self-emp-inc,9,Exec-managerial,Not-in-family,Male,0,0,60,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Tech-support,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Private,3,Machine-op-inspct,Husband,Male,0,0,40,Mexico,<=50K
*,Degree,Partnered,White,Private,11,Other-service,Husband,Male,0,0,40,Puerto-Rico,<=50K
*,No-Degree,Partnered,White,Private,9,Adm-clerical,Husband,Male,0,0,48,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Machine-op-inspct,Husband,Male,5013,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,13,Sales,Husband,Male,2407,0,40,United-States,<=50K
*,No-Degree,Partnered,White,?,4,?,Not-in-family,Male,0,0,40,?,<=50K
*,No-Degree,Partnered,White,Private,9,Transport-moving,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,16,Prof-specialty,Husband,Male,0,0,45,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Tech-support,Not-in-family,Male,0,0,58,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Adm-clerical,Wife,Female,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Self-emp-inc,10,Exec-managerial,Husband,Male,0,0,50,United-States,>50K
*,No-Degree,Not-Partnered,White,?,10,?,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Prof-specialty,Own-child,Male,0,0,32,United-States,<=50K
*,Degree,Not-Partnered,Black,Private,13,Sales,Own-child,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Self-emp-not-inc,13,Sales,Husband,Male,0,0,70,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Machine-op-inspct,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Prof-specialty,Other-relative,Male,0,0,20,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Own-child,Male,0,0,40,Mexico,<=50K
*,Degree,Partnered,White,Private,12,Adm-clerical,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,?,6,?,Husband,Male,0,0,2,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,7,Other-service,Own-child,Female,0,0,22,United-States,<=50K
*,No-Degree,Partnered,White,Local-gov,4,Farming-fishing,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Sales,Not-in-family,Male,0,0,30,United-States,<=50K
*,Degree,Partnered,White,Private,13,Other-service,Husband,Male,0,0,40,Cuba,<=50K
*,No-Degree,Partnered,White,Private,9,Other-service,Wife,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Sales,Husband,Male,0,0,48,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Not-in-family,Female,14344,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,9,Sales,Own-child,Female,0,0,35,United-States,<=50K
*,No-Degree,Partnered,White,Local-gov,9,Protective-serv,Husband,Male,0,0,40,United-States,>50K
*,Degree,Partnered,White,Private,14,Prof-specialty,Husband,Male,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,5,Sales,Not-in-family,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Federal-gov,16,Prof-specialty,Not-in-family,Female,0,0,50,United-States,>50K
*,Degree,Partnered,White,Private,11,Prof-specialty,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Craft-repair,Unmarried,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,10,Machine-op-inspct,Unmarried,Female,0,0,25,United-States,<=50K
*,No-Degree,Partnered,Asian-Pac-Islander,Private,9,Sales,Wife,Female,0,1573,35,?,<=50K
*,Degree,Partnered,White,Local-gov,13,Protective-serv,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Local-gov,10,Handlers-cleaners,Not-in-family,Male,0,0,50,United-States,<=50K
*,Degree,Partnered,White,Self-emp-not-inc,16,Prof-specialty,Husband,Male,0,1902,60,United-States,>50K
*,No-Degree,Partnered,White,Private,10,Sales,Husband,Male,0,0,48,United-States,>50K
*,Degree,Not-Partnered,White,Private,12,Exec-managerial,Unmarried,Female,0,0,40,England,<=50K
*,No-Degree,Not-Partnered,Black,Federal-gov,9,Other-service,Own-child,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,14,Exec-managerial,Husband,Male,0,0,40,United-States,>50K
*,Degree,Partnered,White,Private,13,Exec-managerial,Husband,Male,15024,0,60,United-States,>50K
*,Degree,Not-Partnered,White,Self-emp-not-inc,14,Prof-specialty,Not-in-family,Female,0,0,50,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Tech-support,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Not-in-family,Male,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-inc,9,Craft-repair,Husband,Male,7688,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,?,6,?,Own-child,Female,34095,0,32,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,7,Handlers-cleaners,Own-child,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Local-gov,9,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,9,Handlers-cleaners,Husband,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,13,Sales,Other-relative,Male,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,15,Prof-specialty,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Other-service,Husband,Male,0,1887,50,Canada,>50K
*,No-Degree,Partnered,White,Private,10,Sales,Wife,Female,4064,0,25,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Machine-op-inspct,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Partnered,White,Private,5,Handlers-cleaners,Husband,Male,0,0,50,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-inc,10,Sales,Husband,Male,0,0,50,United-States,<=50K
*,Degree,Partnered,Black,Local-gov,11,Craft-repair,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Private,10,Sales,Husband,Male,0,0,56,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Craft-repair,Not-in-family,Male,0,0,41,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Other-service,Own-child,Female,0,0,40,United-States,<=50K
*,Degree,Partnered,White,Private,13,Exec-managerial,Husband,Male,0,0,60,United-States,<=50K
*,Degree,Not-Partnered,Black,Private,13,Exec-managerial,Own-child,Male,0,0,40,Germany,<=50K
*,Degree,Partnered,White,State-gov,13,Prof-specialty,Husband,Male,0,0,50,United-States,>50K
*,No-Degree,Not-Partnered,Black,Private,10,Other-service,Own-child,Male,0,0,35,United-States,<=50K
*,Degree,Partnered,White,Private,13,Exec-managerial,Wife,Female,0,0,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Adm-clerical,Own-child,Female,0,1719,28,United-States,<=50K
*,Degree,Partnered,White,Private,12,Adm-clerical,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,?,9,?,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Craft-repair,Not-in-family,Male,0,0,40,United-States,<=50K
*,Degree,Not-Partnered,White,Private,12,Sales,Not-in-family,Female,0,0,60,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Not-in-family,Female,0,1762,40,United-States,<=50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Craft-repair,Husband,Male,4386,0,35,United-States,<=50K
*,Degree,Partnered,White,Private,13,Sales,Husband,Male,0,0,50,United-States,<=50K
*,Degree,Not-Partnered,Black,Private,12,Tech-support,Not-in-family,Female,0,0,36,United-States,<=50K
*,Degree,Partnered,White,Federal-gov,14,Prof-specialty,Husband,Male,0,0,40,Iran,>50K
*,No-Degree,Partnered,White,Self-emp-not-inc,9,Craft-repair,Husband,Male,0,0,60,United-States,<=50K
*,Degree,Partnered,White,Private,11,Adm-clerical,Wife,Female,0,0,35,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Sales,Own-child,Male,0,0,20,United-States,<=50K
*,No-Degree,Partnered,Asian-Pac-Islander,Private,10,Craft-repair,Husband,Male,0,0,40,United-States,>50K
*,No-Degree,Partnered,White,Self-emp-inc,9,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Sales,Own-child,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,10,Other-service,Own-child,Male,0,0,30,Mexico,<=50K
*,Degree,Not-Partnered,White,Private,11,Prof-specialty,Not-in-family,Female,0,1564,40,United-States,>50K
*,No-Degree,Not-Partnered,White,Private,10,Tech-support,Other-relative,Male,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,Black,Private,9,Transport-moving,Unmarried,Female,0,0,30,United-States,<=50K
*,No-Degree,Partnered,White,Private,10,Other-service,Husband,Male,0,0,24,United-States,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Other-service,Unmarried,Female,0,0,24,United-States,<=50K
*,No-Degree,Partnered,White,Private,7,Craft-repair,Husband,Male,0,2179,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,?,10,?,Not-in-family,Female,0,0,40,United-States,<=50K
*,No-Degree,Not-Partnered,White,Local-gov,10,Adm-clerical,Unmarried,Female,0,0,38,Mexico,<=50K
*,No-Degree,Not-Partnered,White,Private,9,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
